구,CultureBudget,Cul_Goverment,CulArtBudget,Cul_Art,donation_index,budget_index,finanace_index
강서구,82.83829122479797,97.84615384615384,79.16133822221347,61.9848778257457,77.1944195875386,80.45766527972775,78.82604243363318
금정구,344.92237795919294,317.02564102564105,75.78882550556798,14.252385454173726,46.745822926822754,187.9973074861439,117.37156520648333
기장구,333.328140370976,223.02564102564105,266.7403588377278,51.90635176893691,100.0,218.75012300082045,159.37506150041023
남구,84.07643277417382,74.3076923076923,266.7403588377278,205.7871288979824,100.0,157.72790320439407,128.86395160219703
동구,78.75835689185206,116.4102564102564,82.38270432664511,340.85439117277707,227.79313711959662,154.60142720038266,191.19728215998964
동래구,34.23927776502193,36.92307692307693,43.34316355830673,82.11070206220175,188.4748470372794,49.15405507715184,118.81445105721562
부산진구,52.74736589868505,32.666666666666664,96.8009831605623,119.03721169996022,41.55184260162022,75.31305685646855,58.432449729044386
북구,85.90487909590469,71.89743589743588,45.64213493985718,34.46290426675014,74.19971893146469,59.47683854998698,66.83827874072583
사상구,84.65502978418438,81.8974358974359,97.57616612251815,74.76438019093209,110.5575812078824,84.72325299876763,97.640417103325
사하구,41.85811227888091,33.53846153846154,70.84371840685465,109.78056547526181,100.0,64.00521442486473,82.00260721243237
서구,76.10426827864868,104.05128205128204,54.94294983375253,46.82811883782072,10.387960650405056,70.481654750376,40.43480770039052
수영구,75.69509075796864,95.33333333333334,165.70658021039029,141.99589666480574,83.8456823925551,119.6827252416245,101.7642038170898
연제구,36.15933263794267,29.230769230769234,93.68038721697978,168.0474878810157,100.0,81.77949424167684,90.88974712083842
영도구,81.15111614848091,99.23076923076923,80.18557310936436,33.672525439407956,7.419971893146468,73.55999598200562,40.48998393757604
중구,58.35035123650065,156.97435897435895,45.15695742111227,64.09224646012488,178.22772487337818,81.14347852302419,129.6856016982012
해운대구,49.21157931699807,32.61538461538462,35.30783480665901,50.19783095957132,153.60129819828242,41.83315742465325,97.71722781146784
