구,busan_CultureBudget2021,busan_CultureBudget2022,busan_CulArtBudget2021,busan_CulArtBudget2022,busan_Cul_Goverment2021,busan_Cul_Goverment2022,busan_Cul_Art2021,busan_Cul_Art2022,busan_BusanDonation2021,busan_BusanDonation2022,donation_index,budget_index,finanace_index
강서구,68455478,79318289,4586904,4728851,19.08,19.44,6.70056529296311,5.96186713003857,10403600,10403600,100.0,102.45635587636852,101.22817793818426
금정구,285035168,311441589,4391488,6164578,61.82,59.53,1.54068286759618,1.97936891466348,6300000,6300000,100.0,118.60226364022472,109.30113182011236
기장구,275453982,297429593,15455934,26235865,43.49,42.36,5.61107662622208,8.82086571661347,0,36000000,inf,133.08260105886325,inf
남구,69478647,76072637,15455934,26235865,14.49,14.45,22.2455886338719,34.4879131769811,77300100,132800000,171.79796662617514,133.498360337505,152.64816348184007
동구,373802965,406211576,137732785,142765990,2.81,2.85,36.8463596857772,35.145721696518,30700000,18547000,60.41368078175896,102.28307519331781,81.34837798753838
동래구,28294477,29557210,2511465,2505346,7.2,6.66,8.87616689292401,8.476260107094,25401019,23500823,92.5192135008442,98.05344569757008,95.28632959920714
부산진구,43589095,47864185,5609011,9387405,6.37,6.54,12.8679225847657,19.6125871567644,5600000,9600000,171.42857142857142,133.06348726516183,152.24602934686664
북구,70989629,78539211,2644676,6187008,14.02,13.92,3.72543995123569,7.87760396523463,10000000,10000000,100.0,163.8294575415304,131.91472877076518
사상구,69956785,75412026,5653928,5597821,15.97,16.1,8.08202949863976,7.42298184642327,14900000,14900000,100.0,99.86630135101373,99.93315067550687
사하구,34590490,45556328,4104950,2880823,6.54,7.95,11.8672791278758,6.32365058044186,19514162,29688765,152.1395845745259,94.18180173812524,123.16069315632558
서구구,62890651,63541138,3183600,3195306,20.29,19.33,5.06211964636842,5.02872013403348,1400000,43440000,3102.8571428571427,99.00270586289872,1600.9299243600208
수영구,62552517,70668660,9601659,9728685,18.59,18.97,15.3497564294655,13.7666187529238,21725000,11300000,52.013808975834294,101.50705769750718,76.76043333667073
연제구,29881162,30896162,5428192,6528192,5.7,5.7,18.1659334399378,21.1294593807476,19514162,29688765,152.1395845745259,109.99375211719102,131.06666834585846
중구,67061239,70253323,4646252,5223384,19.35,19.39,6.9283718423395,7.43507036670706,1000000,1000000,100.0,106.1753775557836,103.0876887778918
해운대구,48219261,50844716,2616563,3130474,30.61,29.6,5.42638552672966,6.15693084016832,24020000,24020000,100.0,108.81219365850205,104.40609682925103
