구,BusanCultureWorker2020,BusanCultureWorker2021,BusanPerformance2020,BusanPerformance2021,BusanContentsG2020,BusanContentsG2021,BusanContentsH2020,BusanContentsH2021,BusanConApplicants2022,BusanConApplicants2023,ManPowerIndex,ContentsIndex,ArtCreationProductionIndex
강서구,1101,1142,253,250,634,1050,2518,3899,251,306,108.15015574057831,160.2301285633032,134.19014215194076
금정구,1251,1641,253,250,634,1050,2518,3899,251,306,117.30054659955324,160.2301285633032,138.7653375814282
기장구,777,1167,253,250,634,1050,2518,3899,251,306,123.63987667989052,160.2301285633032,141.93500262159685
남구,957,884,253,250,634,1050,2518,3899,251,306,104.36619188896437,160.2301285633032,132.29816022613377
동구,467,529,253,250,634,1050,2518,3899,251,306,111.33427037000156,160.2301285633032,135.78219946665237
동래구,1028,1096,253,250,634,1050,2518,3899,251,306,109.11378861294645,160.2301285633032,134.67195858812482
부산진구,1680,1827,253,250,634,1050,2518,3899,251,306,109.82552661554047,160.2301285633032,135.02782758942183
북구,606,685,253,250,634,1050,2518,3899,251,306,111.25429449232816,160.2301285633032,135.74221152781567
사상구,532,565,253,250,634,1050,2518,3899,251,306,108.97652912180615,160.2301285633032,134.60332884255467
사하구,641,573,253,250,634,1050,2518,3899,251,306,103.37271850321599,160.2301285633032,131.8014235332596
서구,357,348,253,250,634,1050,2518,3899,251,306,106.06852381442002,160.2301285633032,133.1493261888616
수영구,473,461,253,250,634,1050,2518,3899,251,306,106.06319398692877,160.2301285633032,133.14666127511597
연제구,521,635,253,250,634,1050,2518,3899,251,306,114.20252597574522,160.2301285633032,137.21632726952421
중구,264,317,253,250,634,1050,2518,3899,251,306,113.600779140793,160.2301285633032,136.9154538520481
해운대구,335,369,253,250,634,1050,2518,3899,251,306,110.29194452598824,160.2301285633032,135.26103654464572
