구,audience_rate,visit_num,expenditure,reading,volunteer,club,education,enjoyment_index,participation_index,busan_arts_enjoyment_index
강서구,72.83,100.0,24.39,100.0,94.06,100.0,100.0,74.3,98.02,86.16
금정구,95.85,100.0,17.07,100.0,108.69,100.0,100.0,78.23,102.9,90.56
기장군,100.75,100.0,34.15,100.0,107.64,100.0,100.0,83.72,102.55,93.14
남구,99.62,100.0,29.27,100.0,96.15,100.0,100.0,82.22,98.72,90.47
동구,89.81,100.0,9.76,100.0,74.2,100.0,100.0,74.89,91.4,83.15
동래구,109.43,100.0,58.54,100.0,130.63,100.0,100.0,91.99,110.21,101.1
부산진구,110.94,100.0,29.27,100.0,108.69,100.0,100.0,85.05,102.9,93.98
북구,69.43,100.0,21.95,100.0,86.74,100.0,100.0,72.84,95.58,84.21
사상구,89.43,100.0,21.95,100.0,100.33,100.0,100.0,77.84,100.11,88.98
사하구,125.66,100.0,34.15,100.0,84.65,100.0,100.0,89.95,94.88,92.42
서구,86.79,100.0,21.95,100.0,76.29,100.0,100.0,77.18,92.1,84.64
수영구,106.42,100.0,31.71,100.0,121.23,100.0,100.0,84.53,107.08,95.8
연제구,129.43,100.0,36.59,100.0,113.91,100.0,100.0,91.5,104.64,98.07
영도구,85.66,100.0,17.07,100.0,81.52,100.0,100.0,75.68,93.84,84.76
중구,93.21,100.0,26.83,100.0,79.43,100.0,100.0,80.01,93.14,86.58
해운대구,134.72,100.0,19.51,100.0,135.86,100.0,100.0,88.56,111.95,100.26
