구	avg_satisfaction	intent_to_watch	edu_intent	sat_leisure	happiness	life	perf_revenue	art_revenue	global_exchange
강서구	5.835556	12.2556	390	0.073729449	0.33033361	0.47992774	493266	5946	9.03
금정구	5.835556	12.2556	390	0.097145203	0.461744102	0.536850331	493266	5946	9.03
기장군	5.835556	12.2556	390	0.110720809	0.473783639	0.437426726	493266	5946	9.03
남구	5.835556	12.2556	390	0.141831034	0.427649698	0.553098174	493266	5946	9.03
동구	5.835556	12.2556	390	0.024101349	0.531744675	0.036109781	493266	5946	9.03
동래구	5.835556	12.2556	390	0.097145203	0.523732892	0.643666534	493266	5946	9.03
부산진구	5.835556	12.2556	390	0.141831034	0.447025722	0.423915766	493266	5946	9.03
북구	5.835556	12.2556	390	0.036939763	0.363737772	0.306464831	493266	5946	9.03
사상구	5.835556	12.2556	390	0.03306435	0.403220281	0.090276807	493266	5946	9.03
사하구	5.835556	12.2556	390	0.048268434	0.317931819	0.110362212	493266	5946	9.03
서구	5.835556	12.2556	390	0.090834346	0.532875378	0.30444501	493266	5946	9.03
수영구	5.835556	12.2556	390	0.128215209	0.417240733	0.346696079	493266	5946	9.03
연제구	5.835556	12.2556	390	0.071992132	0.419896403	0.642822962	493266	5946	9.03
영도구	5.835556	12.2556	390	0.0755	0.3518	0.2273	493266	5946	9.03
중구	5.835556	12.2556	390	0.141831034	0.603553619	0.022514359	493266	5946	9.03
해운대구	5.835556	12.2556	390	0.181673347	0.391455533	0.631429444	493266	5946	9.03
