구,audience_rate,visit_num,expenditure,reading,library,volunteer,club,education
강서구,19.3,4.1,1,44.8,12.8,9,1.8,11.4
금정구,25.4,4.1,0.7,44.8,12.8,10.4,1.8,11.4
기장군,26.7,4.1,1.4,44.8,12.8,10.3,1.8,11.4
남구,26.4,4.1,1.2,44.8,12.8,9.2,1.8,11.4
동구,23.8,4.1,0.4,44.8,12.8,7.1,1.8,11.4
동래구,29,4.1,2.4,44.8,12.8,12.5,1.8,11.4
부산진구,29.4,4.1,1.2,44.8,12.8,10.4,1.8,11.4
북구,18.4,4.1,0.9,44.8,12.8,8.3,1.8,11.4
사상구,23.7,4.1,0.9,44.8,12.8,9.6,1.8,11.4
사하구,33.3,4.1,1.4,44.8,12.8,8.1,1.8,11.4
서구,23,4.1,0.9,44.8,12.8,7.3,1.8,11.4
수영구,28.2,4.1,1.3,44.8,12.8,11.6,1.8,11.4
연제구,34.3,4.1,1.5,44.8,12.8,10.9,1.8,11.4
영도구,22.7,4.1,0.7,44.8,12.8,7.8,1.8,11.4
중구,24.7,4.1,1.1,44.8,12.8,7.6,1.8,11.4
해운대구,35.7,4.1,0.8,44.8,12.8,13,1.8,11.4
