구,cul_budget,avg_cul_budget,cna_budget,avg_cna_budget,cul_government,avg_cul_government,cna_budget_2,avg_cna_budget_2,donation,avg_donation
강서구,68455478,82637482,4586904,5794374,19.08,19.5,6.70056529296311,10.81,10403600,13477140.0
금정구,285035168,82637482,4391488,5794374,61.82,19.5,1.54068286759618,10.81,6300000,13477140.0
기장구,275453982,82637482,15455934,5794374,43.49,19.5,5.61107662622208,10.81,13477140,13477140.0
남구,69478647,82637482,15455934,5794374,14.49,19.5,22.2455886338719,10.81,13477140,13477140.0
동구,65083923,82637482,4773562,5794374,22.7,19.5,36.8463596857772,10.81,30700000,13477140.0
동래구,28294477,82637482,2511465,5794374,7.2,19.5,8.87616689292401,10.81,25401019,13477140.0
부산진구,43589095,82637482,5609011,5794374,6.37,19.5,12.8679225847657,10.81,5600000,13477140.0
북구,70989629,82637482,2644676,5794374,14.02,19.5,3.72543995123569,10.81,10000000,13477140.0
사상구,69956785,82637482,5653928,5794374,15.97,19.5,8.08202949863976,10.81,14900000,13477140.0
사하구,34590490,82637482,4104950,5794374,6.54,19.5,11.8672791278758,10.81,13477140,13477140.0
서구,62890651,82637482,3183600,5794374,20.29,19.5,5.06211964636842,10.81,1400000,13477140.0
수영구,62552517,82637482,9601659,5794374,18.59,19.5,15.3497564294655,10.81,11300000,13477140.0
연제구,29881162,82637482,5428192,5794374,5.7,19.5,18.1659334399378,10.81,13477140,13477140.0
영도구,67061239,82637482,4646252,5794374,19.35,19.5,3.64,10.81,1000000,13477140.0
중구,48219261,82637482,2616563,5794374,30.61,19.5,6.9283718423395,10.81,24020000,13477140.0
해운대구,40667210,82637482,2045868,5794374,6.36,19.5,5.42638552672966,10.81,20701062,13477140.0
