구,예술창작/생산지수,예술재정지수,예술시설지수,예술향유지수,예술성과지수,부산예술활력지수
해운대구,130.32,97.72,162.48,100.26,102.49,118.65
중구,85.39,129.68,164.29,86.58,121.24,117.44
기장군,107.85,159.38,86.83,93.14,134.56,116.35
동구,89.89,191.2,93.01,83.15,95.02,110.45
금정구,121.2,117.38,99.29,90.56,98.71,105.43
남구,99.89,128.86,109.67,90.47,98.22,105.42
수영구,87.98,101.76,128.4,95.8,90.46,100.88
동래구,105.85,118.81,78.75,101.1,99.28,100.76
부산진구,126.44,58.43,90.64,93.98,99.06,93.71
강서구,107.15,78.82,64.57,86.16,113.22,89.98
연제구,92.88,90.89,72.6,98.07,94.16,89.72
사상구,90.91,97.64,72.76,88.98,86.8,87.42
사하구,91.13,82.0,72.8,92.42,89.34,85.54
북구,94.28,66.84,73.12,84.21,85.48,80.79
영도구,83.92,40.49,86.57,84.76,94.74,78.1
서구,84.8,40.44,70.36,84.64,97.21,75.49
