구,Budget_avg,Donation_avg,Finance_avg
강남구,2.70563E+11,373679610,1.35468E+11
강동구,2.70563E+11,33159859,1.35298E+11
강북구,2.70563E+11,3000000,1.35283E+11
강서구,2.70563E+11,167409556.5,1.35365E+11
관악구,2.70563E+11,309220000,1.35436E+11
광진구,2.70563E+11,49303840,1.35306E+11
구로구,2.70563E+11,15984880,1.35289E+11
금천구,2.70563E+11,426860744.5,1.35495E+11
노원구,2.70563E+11,661742600,1.35612E+11
도봉구,2.70563E+11,0,1.35281E+11
동대문구,2.70563E+11,24450000,1.35293E+11
동작구,2.70563E+11,0,1.35281E+11
마포구,2.70563E+11,26723932,1.35295E+11
서대문구,2.70563E+11,133795470,1.35348E+11
서초구,2.70563E+11,385139275,1.35474E+11
성동구,2.70563E+11,156110199.5,1.35359E+11
성북구,2.70563E+11,44179673,1.35303E+11
송파구,2.70563E+11,23203675,1.35293E+11
양천구,2.70563E+11,25842285,1.35294E+11
영등포구,2.70563E+11,13508740.5,1.35288E+11
용산구,2.70563E+11,17500000,1.3529E+11
은평구,2.70563E+11,32395600,1.35297E+11
종로구,2.70563E+11,35881348,1.35299E+11
중구,2.70563E+11,252000000,1.35407E+11
중랑구,2.70563E+11,133795470,1.35348E+11
