구,workers,participants,contents_count,manpower_index,contents_index,arts_creation_production_index
강남구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
강동구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
강북구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
강서구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
관악구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
광진구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
구로구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
금천구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
노원구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
도봉구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
동대문구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
동작구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
마포구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
서대문구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
서초구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
성동구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
성북구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
송파구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
양천구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
영등포구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
용산구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
은평구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
종로구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
중구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
중랑구,133.82167557439755,100.0,100.0,116.91,100.0,108.46
