구,audience_rate_2020,audience_rate_2022,visits_2021,visits_2022,expenditure_2021,expenditure_2022,ex_rate_2021,ex_rate_2022,num_books_2019,library_2019,volunteer_2021,volunteer_2022,club_2021,club_2022,education_2021
강남구,63.1,69.1,3.63,3.78,"142,607","168,837",4.23,4.7,13.41,55.56,2.01,0.7,1.9,3.3,11.4
강동구,63.1,69.1,2.06,2.23,"142,607","168,837",4.23,4.7,27,37.21,1.37,1.29,1.9,3.3,11.4
강북구,63.1,69.1,1.85,1.37,"142,607","168,837",4.23,4.7,21.79,26.47,1.27,1.15,1.9,3.3,11.4
강서구,63.1,69.1,2.24,1.79,"142,607","168,837",4.23,4.7,3.32,27.42,0.76,0.29,1.9,3.3,11.4
관악구,63.1,69.1,2.27,2.32,"142,607","168,837",4.23,4.7,21.93,29.63,0.42,0.57,1.9,3.3,11.4
광진구,63.1,69.1,2.69,2.55,"142,607","168,837",4.23,4.7,16.08,50,1.95,0.61,1.9,3.3,11.4
구로구,63.1,69.1,1.73,1.69,"142,607","168,837",4.23,4.7,14.58,32.56,0.48,0.52,1.9,3.3,11.4
금천구,63.1,69.1,1.93,1.69,"142,607","168,837",4.23,4.7,29.13,26.09,1.97,0.8,1.9,3.3,11.4
노원구,63.1,69.1,1.61,1.11,"142,607","168,837",4.23,4.7,18.83,33.33,0.41,0.34,1.9,3.3,11.4
도봉구,63.1,69.1,2.43,1.94,"142,607","168,837",4.23,4.7,24.56,58.82,0.53,1.05,1.9,3.3,11.4
동대문구,63.1,69.1,1.48,2.46,"142,607","168,837",4.23,4.7,11.94,26.47,0.56,2.16,1.9,3.3,11.4
동작구,63.1,69.1,3.17,2.1,"142,607","168,837",4.23,4.7,12.05,34.88,0.72,2.21,1.9,3.3,11.4
마포구,63.1,69.1,2.4,1.99,"142,607","168,837",4.23,4.7,27.08,42.5,0.69,0.92,1.9,3.3,11.4
서대문구,63.1,69.1,2.26,2.26,"142,607","168,837",4.23,4.7,5.24,18.18,1.82,1.46,1.9,3.3,11.4
서초구,63.1,69.1,3.22,2.12,"142,607","168,837",4.23,4.7,23.45,13.64,0.86,2.3,1.9,3.3,11.4
성동구,63.1,69.1,2.48,3.17,"142,607","168,837",4.23,4.7,8.29,38.71,2.7,0.35,1.9,3.3,11.4
성북구,63.1,69.1,1.88,2.38,"142,607","168,837",4.23,4.7,16.91,39.53,0.85,0.46,1.9,3.3,11.4
송파구,63.1,69.1,2.65,1.89,"142,607","168,837",4.23,4.7,19.32,33.33,1.06,0.56,1.9,3.3,11.4
양천구,63.1,69.1,2.62,2.11,"142,607","168,837",4.23,4.7,12.66,57.45,0.97,1,1.9,3.3,11.4
영등포구,63.1,69.1,3.11,1.22,"142,607","168,837",4.23,4.7,9.27,37.84,3.1,0.27,1.9,3.3,11.4
용산구,63.1,69.1,2.31,2.97,"142,607","168,837",4.23,4.7,10.96,45.83,0.85,2.06,1.9,3.3,11.4
은평구,63.1,69.1,1.92,1.86,"142,607","168,837",4.23,4.7,11.63,29.17,0.49,1.28,1.9,3.3,11.4
종로구,63.1,69.1,2.26,4.03,"142,607","168,837",4.23,4.7,6.78,22.22,1.02,1.16,1.9,3.3,11.4
중구,63.1,69.1,1.65,1.77,"142,607","168,837",4.23,4.7,10.42,25,0.39,0.42,1.9,3.3,11.4
중랑구,63.1,69.1,1.47,1.98,"142,607","168,837",4.23,4.7,7.63,25.58,0.78,1.16,1.9,3.3,11.4
