구,ContentsCreator_2021,ContentsCreator_2022,performanceTeam_2020,performanceTeam_2021,applicants_2022,applicants_2023,Content_2019,Content_2020
강남구,463268,619953,1854,1826,2872,3402,126978,62139
강동구,463268,619953,1854,1826,2872,3402,126978,62139
강북구,463268,619953,1854,1826,2872,3402,126978,62139
강서구,463268,619953,1854,1826,2872,3402,126978,62139
관악구,463268,619953,1854,1826,2872,3402,126978,62139
광진구,463268,619953,1854,1826,2872,3402,126978,62139
구로구,463268,619953,1854,1826,2872,3402,126978,62139
금천구,463268,619953,1854,1826,2872,3402,126978,62139
노원구,463268,619953,1854,1826,2872,3402,126978,62139
도봉구,463268,619953,1854,1826,2872,3402,126978,62139
동대문구,463268,619953,1854,1826,2872,3402,126978,62139
동작구,463268,619953,1854,1826,2872,3402,126978,62139
마포구,463268,619953,1854,1826,2872,3402,126978,62139
서대문구,463268,619953,1854,1826,2872,3402,126978,62139
서초구,463268,619953,1854,1826,2872,3402,126978,62139
성동구,463268,619953,1854,1826,2872,3402,126978,62139
성북구,463268,619953,1854,1826,2872,3402,126978,62139
송파구,463268,619953,1854,1826,2872,3402,126978,62139
양천구,463268,619953,1854,1826,2872,3402,126978,62139
영등포구,463268,619953,1854,1826,2872,3402,126978,62139
용산구,463268,619953,1854,1826,2872,3402,126978,62139
은평구,463268,619953,1854,1826,2872,3402,126978,62139
종로구,463268,619953,1854,1826,2872,3402,126978,62139
중구,463268,619953,1854,1826,2872,3402,126978,62139
중랑구,463268,619953,1854,1826,2872,3402,126978,62139
