구,cul_fac_num_2021,cul_fac_num_2022,mil_fac_num_2021,mil_fac_num_2022,hall_num_2021,hall_num_2022,hall_rate_2021,hall_rate_2020,hall_people_2021,hall_people_2020,art_people_2021,art_people_2020
강남구,115,115,493.7,486.6,34,34,51.8,35.6,164,156,70,65
강동구,17,17,85.0,83.8,21,21,51.8,35.6,164,156,70,65
강북구,17,17,117.6,117.6,6,6,51.8,35.6,164,156,70,65
강서구,20,20,74.5,72.9,5,6,51.8,35.6,164,156,70,65
관악구,17,17,62.0,59.3,3,3,51.8,35.6,164,156,70,65
광진구,24,24,143.8,141.2,14,16,51.8,35.6,164,156,70,65
구로구,22,22,122.1,119.2,20,20,51.8,35.6,164,156,70,65
금천구,12,12,104.4,99.6,7,7,51.8,35.6,164,156,70,65
노원구,20,20,92.1,91.7,6,6,51.8,35.6,164,156,70,65
도봉구,23,23,166.4,166.3,5,5,51.8,35.6,164,156,70,65
동대문구,11,11,66.2,64.2,10,10,51.8,35.6,164,156,70,65
동작구,16,16,87.0,85.6,103,104,51.8,35.6,164,156,70,65
마포구,48,48,269.3,265.1,39,40,51.8,35.6,164,156,70,65
서대문구,26,26,181.7,176.6,9,9,51.8,35.6,164,156,70,65
서초구,43,43,250.4,255.4,38,39,51.8,35.6,164,156,70,65
성동구,16,16,118.8,119.8,11,11,51.8,35.6,164,156,70,65
성북구,25,25,128.7,126.3,14,14,51.8,35.6,164,156,70,65
송파구,25,25,89.1,87.5,13,13,51.8,35.6,164,156,70,65
양천구,16,16,88.4,88.3,6,6,51.8,35.6,164,156,70,65
영등포구,27,27,146.1,141.8,18,18,51.8,35.6,164,156,70,65
용산구,24,24,213.8,218.7,19,20,51.8,35.6,164,156,70,65
은평구,11,11,51.6,51.4,1,1,51.8,35.6,164,156,70,65
종로구,380,383,5155.2,5276.6,159,160,51.8,35.6,164,156,70,65
중구,56,56,891.1,871.5,267,268,51.8,35.6,164,156,70,65
중랑구,11,11,59.5,58.5,9,9,51.8,35.6,164,156,70,65
