구,cul_budget_2021,cul_budget_2022,cul_government_2021,cul_government_2022,cna_budget_2021,cna_budget_2022,cna_budget_2_2021,cna_budget_2_2022,donation_2021,donation_2022
강남구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,216256860,531102360
강동구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,25639089,40680629
강북구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,6000000,0
강서구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,199885463,134933650
관악구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,300000000,318440000
광진구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,19122230,79485450
구로구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,29969760,2000000
금천구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,826131489,27590000
노원구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,646908000,676577200
도봉구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,0,0
동대문구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,24450000,24450000
동작구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,0,0
마포구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,26723932,26723932
서대문구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,129901117,137689823
서초구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,100000000,670278550
성동구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,112188900,200031499
성북구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,45168223,43191123
송파구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,33034000,13373350
양천구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,25842285,25842285
영등포구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,23584119,3433362
용산구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,35000000,0
은평구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,3940000,60851200
종로구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,35881348,35881348
중구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,252000000,252000000
중랑구,7.411E+11,7.798E+11,2.1,2,3.194E+11,3.242E+11,43.1,41.57,129901117,137689823
