구,예술창작/생산지수,예술재정지수,예술시설지수,예술향유지수,예술성과지수,서울예술활력지수
강남구,108.46,172.6,99.76,104.97,105.56,118.27
강동구,108.46,129.14,99.76,115.37,106.11,111.77
강북구,108.46,49.8,100.0,110.5,96.98,93.15
강서구,108.46,83.56,101.31,102.5,113.34,101.83
관악구,108.46,102.88,99.28,121.54,119.46,110.32
광진구,108.46,257.64,100.89,103.21,115.13,137.07
구로구,108.46,53.14,99.6,116.42,92.15,93.95
금천구,108.46,51.47,99.24,103.86,92.04,91.01
노원구,108.46,102.1,99.93,108.58,90.03,101.82
도봉구,108.46,49.8,99.99,129.14,91.03,95.68
동대문구,108.46,99.8,99.5,171.21,127.03,121.2
동작구,108.46,49.8,99.82,145.58,100.94,100.92
마포구,108.46,99.8,99.96,118.73,99.68,105.33
서대문구,108.46,102.8,99.53,112.02,101.56,104.87
서초구,108.46,384.94,100.55,138.94,92.18,165.01
성동구,108.46,138.95,100.14,104.28,112.34,112.83
성북구,108.46,97.61,99.69,111.0,122.42,107.84
송파구,108.46,70.04,99.7,103.87,106.26,97.67
양천구,108.46,99.8,99.98,113.4,98.27,103.98
영등포구,108.46,57.08,99.51,92.5,83.67,88.24
용산구,108.46,49.8,100.82,142.61,101.28,100.59
은평구,108.46,822.02,99.94,141.79,101.78,254.8
종로구,108.46,99.8,100.58,127.39,107.82,108.81
중구,108.46,99.8,99.66,117.5,102.74,105.63
중랑구,108.46,102.8,99.72,127.77,109.98,109.75
